id;name;email;phone
1;program;Vivienne61@hotmail.com;1-155-609-8423 x059
2;compress Steel zero defect;Sophia_Aufderhar67@yahoo.com;821.774.4573
3;Surinam Dollar;Maye.McKenzie12@hotmail.com;081.555.0769 x87130
4;Zambian Kwacha;Martine_Doyle83@gmail.com;830-906-1972
5;Arizona Buckinghamshire Practical;Hunter.Miller39@yahoo.com;077-775-4306 x67488
6;cross-platform JBOD maroon;Michelle_Zboncak@yahoo.com;1-164-915-4313 x625
7;plum;Velva.Renner23@gmail.com;1-755-166-5732
8;Total clicks-and-mortar;Josiah_Rohan@hotmail.com;(903) 841-0109 x09002
9;IB;Angeline14@yahoo.com;331-596-6350 x051
10;Coordinator seamless Practical;Anderson_Raynor@hotmail.com;(029) 535-0414
